time,P,Gb(i),Gd(i),Gr(i),H_sun,T2m,WS10m,Int
20170101:0011,0.0,0.0,0.0,0.0,0.0,4.67,3.17,0.0
20170101:0111,0.0,0.0,0.0,0.0,0.0,4.37,3.79,0.0
20170101:0211,0.0,0.0,0.0,0.0,0.0,3.65,4.07,0.0
20170101:0311,0.0,0.0,0.0,0.0,0.0,2.82,4.14,0.0
20170101:0411,0.0,0.0,0.0,0.0,0.0,2.06,4.07,0.0
20170101:0511,0.0,0.0,0.0,0.0,0.0,1.52,3.86,0.0
20170101:0611,0.0,0.0,0.0,0.0,0.0,1.23,3.72,0.0
20170101:0711,0.0,0.0,0.0,0.0,0.0,1.67,3.66,0.0
20170101:0811,0.0,0.0,0.0,0.0,0.0,1.48,3.66,0.0
20170101:0911,0.0,0.0,0.0,0.0,0.0,1.22,3.59,0.0
20170101:1011,295.57,248.64,85.09,2.08,6.78,1.47,3.79,0.0
20170101:1111,385.6,313.53,117.62,3.29,9.91,2.29,4.34,0.0
20170101:1211,44.53,8.26,55.75,1.61,11.08,3.12,4.41,0.0
20170101:1311,86.35,38.96,71.35,2.01,10.21,3.73,4.9,0.0
20170101:1411,10.43,0.0,22.72,0.65,7.37,4.05,6.41,0.0
20170101:1511,0.0,0.0,3.5,0.1,2.77,3.84,6.62,0.0
20170101:1611,0.0,0.0,0.0,0.0,0.0,3.69,7.1,0.0
20170101:1711,0.0,0.0,0.0,0.0,0.0,3.36,6.9,0.0
20170101:1811,0.0,0.0,0.0,0.0,0.0,3.24,6.07,0.0
20170101:1911,0.0,0.0,0.0,0.0,0.0,2.94,6.07,0.0
20170101:2011,0.0,0.0,0.0,0.0,0.0,2.92,5.38,0.0
20170101:2111,0.0,0.0,0.0,0.0,0.0,2.57,4.76,0.0
20170101:2211,0.0,0.0,0.0,0.0,0.0,2.15,4.48,0.0
20170101:2311,0.0,0.0,0.0,0.0,0.0,1.83,4.07,0.0
20170102:0011,0.0,0.0,0.0,0.0,0.0,1.5,3.66,0.0
20170102:0111,0.0,0.0,0.0,0.0,0.0,1.0,3.31,0.0
20170102:0211,0.0,0.0,0.0,0.0,0.0,0.58,3.17,0.0
20170102:0311,0.0,0.0,0.0,0.0,0.0,0.26,3.03,0.0
20170102:0411,0.0,0.0,0.0,0.0,0.0,0.03,3.1,0.0
20170102:0511,0.0,0.0,0.0,0.0,0.0,-0.08,3.1,0.0
20170102:0611,0.0,0.0,0.0,0.0,0.0,-0.18,3.24,0.0
20170102:0711,0.0,0.0,0.0,0.0,0.0,-0.22,3.59,0.0
20170102:0811,0.0,0.0,0.0,0.0,0.0,-0.15,3.59,0.0
